dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
falkenauer-120,rbf,5,0.02531410399978995,5200,4905,295,1.0601427115188584,20,0,1.0601216373171347,0.0016666666666666668
falkenauer-120,tabu,5,13.313428606000798,4975,4905,70,1.0142711518858307,20,6,1.0144458256546758,0.0016666666666666668
falkenauer-120,aco,5,3.6297638800003824,5001,4905,96,1.0195718654434252,20,4,1.0196272802766588,0.0016666666666666668
falkenauer-120,grasp,5,16.962389436999956,4989,4905,84,1.0171253822629969,20,5,1.0172078350738287,0.0016666666666666668
falkenauer-120,vns,5,4.678546851000419,4939,4905,34,1.0069317023445463,20,15,1.0069600596091277,0.0016666666666666668
falkenauer-120,fdo,5,8.086028583999905,5082,4905,177,1.036085626911315,20,0,1.0360844254089592,0.0016666666666666668
falkenauer-120,anthropic-aco,5,9.051803446000122,4947,4905,42,1.0085626911314984,20,15,1.0086129900120582,0.0016666666666666668
falkenauer-120,anthropic-fdo,5,8.505237213999862,4940,4905,35,1.0071355759429155,20,15,1.007168392942461,0.0016666666666666668
falkenauer-120,anthropic-ga,5,5.439961386998448,4919,4905,14,1.0028542303771661,20,18,1.0028627994676131,0.0016666666666666668
falkenauer-120,anthropic-grasp,5,15.752693146998581,4930,4905,25,1.0050968399592253,20,16,1.0051223437535548,0.0016666666666666668
falkenauer-120,anthropic-sa,5,19.621929790999502,4913,4905,8,1.0016309887869521,20,20,1.0016379695356403,0.0016666666666666668
falkenauer-120,anthropic-vns,5,19.60073081899941,4955,4905,50,1.0101936799184505,20,10,1.0102551276363387,0.0016666666666666668
falkenauer-120,openai-aco,5,20.104830573999152,4948,4905,43,1.0087665647298676,20,14,1.0088052977043658,0.0016666666666666668
falkenauer-120,openai-ga,5,19.793853275000856,4965,4905,60,1.0122324159021407,20,11,1.0123704411530494,0.0016666666666666668
falkenauer-120,openai-sa,5,20.10284233600123,4975,4905,70,1.0142711518858307,20,6,1.0144458256546758,0.0016666666666666668
falkenauer-120,openai-tabu,5,21.905403712001544,4975,4905,70,1.0142711518858307,20,6,1.0144458256546758,0.0016666666666666668
falkenauer-120,openai-vns,5,20.00345741699948,4936,4905,31,1.0063200815494393,20,17,1.0063377755784584,0.0016666666666666668
falkenauer-250,rbf,5,0.11960276399781833,10734,10160,574,1.056496062992126,20,0,1.0564452737260466,0.0016666666666666668
falkenauer-250,tabu,5,39.62832238300075,10310,10160,150,1.014763779527559,20,0,1.0147517532014279,0.0016666666666666668
falkenauer-250,aco,5,14.673940719999564,10364,10160,204,1.0200787401574802,20,0,1.0200606503398142,0.0016666666666666668
falkenauer-250,grasp,5,39.62698099199838,10316,10160,156,1.0153543307086614,20,0,1.0153336312402237,0.0016666666666666668
falkenauer-250,vns,5,20.341083109999772,10250,10160,90,1.0088582677165354,20,7,1.0088395763663014,0.0016666666666666668
falkenauer-250,fdo,5,22.147242749999805,10582,10160,422,1.0415354330708662,20,0,1.0415065602836178,0.0016666666666666668
falkenauer-250,anthropic-aco,5,37.34343711200199,10268,10160,108,1.0106299212598424,20,2,1.0106108934368185,0.0016666666666666668
falkenauer-250,anthropic-fdo,5,37.72780370600003,10247,10160,87,1.0085629921259842,20,6,1.008550240603158,0.0016666666666666668
falkenauer-250,anthropic-ga,5,28.850805772000058,10199,10160,39,1.0038385826771654,20,14,1.003802186551363,0.0016666666666666668
falkenauer-250,anthropic-grasp,5,37.84976413299955,10252,10160,92,1.0090551181102363,20,6,1.0090341400170038,0.0016666666666666668
falkenauer-250,anthropic-sa,5,40.86246498100036,10207,10160,47,1.0046259842519685,20,12,1.004594994608917,0.0016666666666666668
falkenauer-250,anthropic-vns,5,40.83490996599835,10285,10160,125,1.0123031496062993,20,0,1.0122860212198908,0.0016666666666666668
falkenauer-250,openai-aco,5,42.07693880099896,10266,10160,106,1.0104330708661418,20,3,1.0104118452738642,0.0016666666666666668
falkenauer-250,openai-ga,5,41.598541923000084,10297,10160,137,1.013484251968504,20,0,1.0134656180150943,0.0016666666666666668
falkenauer-250,openai-sa,5,41.82958411899881,10309,10160,149,1.0146653543307087,20,0,1.0146527433004375,0.0016666666666666668
falkenauer-250,openai-tabu,5,44.32576595400042,10310,10160,150,1.014763779527559,20,0,1.0147517532014279,0.0016666666666666668
falkenauer-250,openai-vns,5,41.672674586999165,10239,10160,79,1.0077755905511812,20,9,1.0077678032753585,0.0016666666666666668
falkenauer-500,rbf,5,0.3768890549990829,21132,20120,1012,1.0502982107355865,20,0,1.0502934440965666,0.0016666666666666668
falkenauer-500,tabu,5,79.33020106600179,20387,20120,267,1.0132703777335985,20,0,1.013282580913085,0.0016666666666666668
falkenauer-500,aco,5,57.41797274099963,20476,20120,356,1.0176938369781312,20,0,1.0177128575084757,0.0016666666666666668
falkenauer-500,grasp,5,79.1680671260001,20403,20120,283,1.014065606361829,20,0,1.0140781424198353,0.0016666666666666668
falkenauer-500,vns,5,53.194459177000226,20285,20120,165,1.0082007952286283,20,1,1.0082087030876623,0.0016666666666666668
falkenauer-500,fdo,5,67.10249081500251,21003,20120,883,1.0438866799204771,20,0,1.0438772975942865,0.0016666666666666668
falkenauer-500,anthropic-aco,5,78.83700180300139,20328,20120,208,1.010337972166998,20,0,1.010352266839068,0.0016666666666666668
falkenauer-500,anthropic-fdo,5,81.75095303300077,20299,20120,179,1.00889662027833,20,0,1.0089012925166438,0.0016666666666666668
falkenauer-500,anthropic-ga,5,71.23824420400206,20183,20120,63,1.003131212723658,20,10,1.0031440638003752,0.0016666666666666668
falkenauer-500,anthropic-grasp,5,79.2644093089998,20341,20120,221,1.0109840954274354,20,0,1.010987148295169,0.0016666666666666668
falkenauer-500,anthropic-sa,5,81.71484492400077,20232,20120,112,1.0055666003976143,20,3,1.0055625230145033,0.0016666666666666668
falkenauer-500,anthropic-vns,5,81.6723474399987,20326,20120,206,1.0102385685884692,20,0,1.0102566609052521,0.0016666666666666668
falkenauer-500,openai-aco,5,85.04163205499935,20298,20120,178,1.0088469184890656,20,0,1.0088546100491722,0.0016666666666666668
