dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
scholl-10,anthropic-aco,5,15.697672948001127,2952,2810,142,1.0505338078291815,10,0,1.050634313055366,0.0016666666666666668
scholl-10,anthropic-fdo,5,16.342489071003,2886,2810,76,1.0270462633451958,10,0,1.0271158578263844,0.0016666666666666668
scholl-10,anthropic-ga,5,15.878591023001718,2823,2810,13,1.004626334519573,10,8,1.0046753246753248,0.0016666666666666668
scholl-10,anthropic-grasp,5,14.423645844994098,2943,2810,133,1.0473309608540926,10,0,1.0474258373205745,0.0016666666666666668
scholl-10,anthropic-sa,5,16.345723235994228,2820,2810,10,1.00355871886121,10,8,1.0036038961038962,0.0016666666666666668
scholl-10,anthropic-vns,5,16.334013420009796,2883,2810,73,1.0259786476868327,10,0,1.0260377079061291,0.0016666666666666668
scholl-10,openai-aco,5,16.80105423099667,2948,2810,138,1.0491103202846974,10,0,1.0492372977899296,0.0016666666666666668
scholl-10,openai-ga,5,16.602491517011003,2935,2810,125,1.0444839857651245,10,0,1.04459352927774,0.0016666666666666668
scholl-10,openai-sa,5,16.73977682000259,2914,2810,104,1.0370106761565836,10,0,1.0370478468899527,0.0016666666666666668
scholl-10,openai-ts,5,21.45785865400103,2980,2810,170,1.0604982206405693,10,0,1.0605980861244015,0.0016666666666666668
scholl-10,openai-vns,5,16.669524794991958,2826,2810,16,1.0056939501779358,10,8,1.0057279562542722,0.0016666666666666668
scholl-480,anthropic-aco,5,457.33906375002334,104437,101230,3207,1.0316803319174157,480,289,1.0218479060339094,0.0016666666666666668
scholl-480,anthropic-fdo,5,417.3699402930433,102676,101230,1446,1.0142843030722117,480,361,1.008803724469684,0.0016666666666666668
scholl-480,anthropic-ga,5,319.6797369429878,101573,101230,343,1.0033883236194805,480,434,1.0022313519874133,0.0016666666666666668
scholl-480,anthropic-grasp,5,741.6381809120358,103420,101230,2190,1.0216339029931838,480,366,1.0117196734551788,0.0016666666666666668
scholl-480,anthropic-sa,5,833.5496107249237,101407,101230,177,1.0017484935295862,480,455,1.0011572143402263,0.0016666666666666668
scholl-480,anthropic-vns,5,832.6190324489835,102331,101230,1101,1.0108762224636965,480,335,1.0091220445137437,0.0016666666666666668
scholl-480,openai-aco,5,817.2961084100498,103547,101230,2317,1.0228884717968982,480,319,1.0159372044260337,0.0016666666666666668
scholl-480,openai-ga,5,849.6272253839888,103295,101230,2065,1.0203990911785044,480,299,1.0157644410838889,0.0016666666666666668
scholl-480,openai-sa,5,686.9383245590507,102806,101230,1576,1.0155685073594785,480,310,1.0132434382961593,0.0016666666666666668
scholl-480,openai-ts,5,954.0401132119441,104970,101230,3740,1.036945569495209,480,236,1.030136677117669,0.0016666666666666668
scholl-480,openai-vns,5,850.1111231760333,102295,101230,1065,1.0105205966610689,480,406,1.00613419076761,0.0016666666666666668
scholl-720,anthropic-aco,5,974.6713010209169,392780,391890,890,1.0022710454464263,720,619,1.0021378482689993,0.0016666666666666668
scholl-720,anthropic-fdo,5,1014.2243966227688,392656,391890,766,1.0019546301258007,720,639,1.001814142857576,0.0016666666666666668
scholl-720,anthropic-ga,5,980.3736028751518,392209,391890,319,1.0008140039296742,720,674,1.0007749444155731,0.0016666666666666668
scholl-720,anthropic-grasp,5,1112.3767248179865,392715,391890,825,1.0021051825767435,720,629,1.0017278424422142,0.0016666666666666668
scholl-720,anthropic-sa,5,1250.65124013897,392376,391890,486,1.0012401439179361,720,650,1.0010429751348313,0.0016666666666666668
scholl-720,anthropic-vns,5,1247.5903342607344,392869,391890,979,1.002498149991069,720,592,1.0027952853246012,0.0016666666666666668
scholl-720,openai-aco,5,1294.0226506308827,392731,391890,841,1.00214601036005,720,623,1.0021425490159104,0.0016666666666666668
scholl-720,openai-ga,5,1278.923645444258,393004,391890,1114,1.002842634412718,720,592,1.0031557729394371,0.0016666666666666668
scholl-720,openai-sa,5,1279.2532101351171,393253,391890,1363,1.0034780167904258,720,561,1.0044925351458018,0.0016666666666666668
scholl-720,openai-ts,5,1406.7101511829678,393300,391890,1410,1.0035979484038888,720,547,1.0046803277086611,0.0016666666666666668
scholl-720,openai-vns,5,1275.2732620091774,392558,391890,668,1.001704559953048,720,632,1.001842662787235,0.0016666666666666668
scholl-10,openai-fdo,5,16.83937183499802,2964,2810,154,1.0548042704626335,10,0,1.0549144452039187,0.0016666666666666668
scholl-480,openai-fdo,5,850.9705068691401,103257,101230,2027,1.0200237083868418,480,309,1.0144715515870464,0.0016666666666666668
scholl-720,openai-fdo,5,1276.552466706089,393061,391890,1171,1.0029880833907474,720,590,1.0031601425456165,0.0016666666666666668
scholl-720,openai-grasp,5,1304.935121011018,392802,391890,912,1.0023271836484728,720,620,1.0022276837803783,0.0016666666666666668
scholl-480,openai-grasp,5,1028.5566867521047,104289,101230,3059,1.0302183147288353,480,299,1.020431886723963,0.0016666666666666668
scholl-720,anthropic-ts,5,971.7642309499206,392383,391890,493,1.0012580060731329,720,646,1.0012542668347435,0.0016666666666666668
scholl-480,anthropic-ts,5,221.66092177666724,101630,101230,400,1.0039513978069743,480,425,1.0030521686029976,0.0016666666666666668
scholl-10,anthropic-ts,5,15.882521044943132,2911,2810,101,1.0359430604982207,10,5,1.035964114832536,0.0016666666666666668
scholl-10,openai-grasp,5,19.556311977037694,2945,2810,135,1.0480427046263345,10,0,1.0481721348826614,0.0016666666666666668
scholl-10,rbf,5,0.046344910020707175,3061,2810,251,1.0893238434163701,10,0,1.089372750056961,0.0016666666666666668
scholl-10,sa,5,15.189327593136113,2820,2810,10,1.00355871886121,10,8,1.0036038961038962,0.0016666666666666668
scholl-10,gga,5,14.718414644041331,2820,2810,10,1.00355871886121,10,8,1.0036038961038962,0.0016666666666666668
scholl-10,aco,5,16.361967089993414,2978,2810,168,1.0597864768683274,10,0,1.0598838004101159,0.0016666666666666668
