algo,num_runs,mean_dif_pct,min_dif_pct,max_dif_pct,spread,run_0,run_1,run_2,run_3,run_4
gga,5,0.1368,0.1326,0.1406,0.0079,0.1326,0.1390,0.1406,0.1350,0.1370
anthropic-ga,5,0.1499,0.1378,0.1685,0.0307,0.1592,0.1434,0.1378,0.1405,0.1685
openai-ga,5,0.8719,0.8563,0.8998,0.0435,0.8752,0.8998,0.8630,0.8652,0.8563
vns,5,0.2701,0.2646,0.2790,0.0144,0.2790,0.2646,0.2718,0.2659,0.2692
anthropic-vns,5,0.5815,0.5737,0.5916,0.0178,0.5832,0.5916,0.5837,0.5737,0.5754
openai-vns,5,0.3813,0.3570,0.4014,0.0444,0.3570,0.3825,0.3939,0.3717,0.4014
sa,5,0.5178,0.5047,0.5327,0.0281,0.5327,0.5070,0.5186,0.5047,0.5262
anthropic-sa,5,0.1310,0.1254,0.1339,0.0085,0.1319,0.1301,0.1254,0.1339,0.1336
openai-sa,5,0.8561,0.8421,0.8728,0.0306,0.8478,0.8728,0.8574,0.8606,0.8421
ts,5,0.6276,0.6085,0.6451,0.0366,0.6085,0.6141,0.6451,0.6442,0.6262
anthropic-ts,5,0.2630,0.2506,0.2717,0.0211,0.2506,0.2651,0.2717,0.2598,0.2680
openai-ts,5,1.5144,1.5144,1.5144,0.0000,1.5144,1.5144,1.5144,1.5144,1.5144
grasp,5,0.8460,0.8341,0.8621,0.0280,0.8474,0.8488,0.8375,0.8621,0.8341
anthropic-grasp,5,0.6250,0.6126,0.6347,0.0220,0.6244,0.6347,0.6209,0.6324,0.6126
openai-grasp,5,0.9847,0.9759,0.9931,0.0172,0.9872,0.9931,0.9795,0.9880,0.9759
aco,5,1.3210,1.2992,1.3316,0.0324,1.3276,1.2992,1.3267,1.3316,1.3198
anthropic-aco,5,1.0345,1.0290,1.0408,0.0118,1.0358,1.0290,1.0332,1.0408,1.0337
openai-aco,5,0.8067,0.8029,0.8143,0.0115,0.8099,0.8029,0.8029,0.8034,0.8143
fdo,5,2.1652,2.1345,2.2190,0.0845,2.1345,2.1673,2.1629,2.1423,2.2190
anthropic-fdo,5,0.4987,0.4818,0.5226,0.0408,0.4818,0.5226,0.4929,0.4977,0.4987
openai-fdo,5,0.8429,0.8308,0.8588,0.0280,0.8396,0.8588,0.8383,0.8468,0.8308
